# material-design-x
bool,mtrl_btn_textappearance_all_caps
dimen,m3_comp_nav_rail_item_active_focused_state_layer_opacity
dimen,m3_comp_nav_rail_item_active_hovered_state_layer_opacity
dimen,m3_comp_nav_rail_item_active_pressed_state_layer_opacity
dimen,m3_comp_nav_rail_item_container_height
dimen,m3_comp_nav_rail_item_container_vertical_space
dimen,m3_comp_nav_rail_item_header_space_minimum
dimen,m3_comp_nav_rail_item_horizontal_active_indicator_height
dimen,m3_comp_nav_rail_item_horizontal_full_width_leading_space
dimen,m3_comp_nav_rail_item_horizontal_full_width_trailing_space
dimen,m3_comp_nav_rail_item_horizontal_icon_label_space
dimen,m3_comp_nav_rail_item_icon_size
dimen,m3_comp_nav_rail_item_short_container_height
dimen,m3_comp_nav_rail_item_vertical_active_indicator_height
dimen,m3_comp_nav_rail_item_vertical_active_indicator_width
dimen,m3_comp_nav_rail_item_vertical_icon_label_space
dimen,m3_comp_nav_rail_item_vertical_leading_space
dimen,m3_comp_nav_rail_item_vertical_trailing_space
dimen,m3_comp_navigation_drawer_container_width
dimen,m3_comp_navigation_drawer_focus_state_layer_opacity
dimen,m3_comp_navigation_drawer_hover_state_layer_opacity
dimen,m3_comp_navigation_drawer_icon_size
dimen,m3_comp_navigation_drawer_modal_container_elevation
dimen,m3_comp_navigation_drawer_pressed_state_layer_opacity
dimen,m3_comp_navigation_drawer_standard_container_elevation
dimen,m3_comp_outlined_autocomplete_menu_container_elevation
dimen,m3_comp_outlined_card_container_elevation
dimen,m3_comp_outlined_card_disabled_outline_opacity
dimen,m3_comp_outlined_card_icon_size
dimen,m3_comp_outlined_card_outline_width
dimen,m3_comp_outlined_text_field_disabled_input_text_opacity
dimen,m3_comp_outlined_text_field_disabled_label_text_opacity
dimen,m3_comp_outlined_text_field_disabled_supporting_text_opacity
dimen,m3_comp_outlined_text_field_focus_outline_width
dimen,m3_comp_outlined_text_field_outline_width
dimen,m3_comp_primary_navigation_tab_active_focus_state_layer_opacity
dimen,m3_comp_primary_navigation_tab_active_hover_state_layer_opacity
dimen,m3_comp_primary_navigation_tab_active_indicator_height
dimen,m3_comp_primary_navigation_tab_active_pressed_state_layer_opacity
dimen,m3_comp_primary_navigation_tab_inactive_focus_state_layer_opacity
dimen,m3_comp_primary_navigation_tab_inactive_hover_state_layer_opacity
dimen,m3_comp_primary_navigation_tab_inactive_pressed_state_layer_opacity
dimen,m3_comp_primary_navigation_tab_with_icon_icon_size
dimen,m3_comp_progress_indicator_circular_active_indicator_wave_amplitude
dimen,m3_comp_progress_indicator_circular_active_indicator_wave_wavelength
dimen,m3_comp_progress_indicator_circular_size
dimen,m3_comp_progress_indicator_circular_track_active_indicator_space
dimen,m3_comp_progress_indicator_circular_track_thickness
dimen,m3_comp_progress_indicator_circular_with_wave_size
dimen,m3_comp_progress_indicator_linear_active_indicator_wave_amplitude
dimen,m3_comp_progress_indicator_linear_active_indicator_wave_wavelength
dimen,m3_comp_progress_indicator_linear_indeterminate_active_indicator_wave_wavelength
dimen,m3_comp_progress_indicator_linear_stop_indicator_size
dimen,m3_comp_progress_indicator_linear_track_active_indicator_space
dimen,m3_comp_progress_indicator_linear_track_thickness
dimen,m3_comp_radio_button_disabled_selected_icon_opacity
dimen,m3_comp_radio_button_disabled_unselected_icon_opacity
dimen,m3_comp_radio_button_selected_focus_state_layer_opacity
dimen,m3_comp_radio_button_selected_hover_state_layer_opacity
dimen,m3_comp_radio_button_selected_pressed_state_layer_opacity
dimen,m3_comp_radio_button_unselected_focus_state_layer_opacity
dimen,m3_comp_radio_button_unselected_hover_state_layer_opacity
dimen,m3_comp_radio_button_unselected_pressed_state_layer_opacity
dimen,m3_comp_scrim_container_opacity
dimen,m3_comp_search_bar_avatar_size
dimen,m3_comp_search_bar_container_elevation
dimen,m3_comp_search_bar_container_height
dimen,m3_comp_search_bar_hover_state_layer_opacity
dimen,m3_comp_search_bar_pressed_state_layer_opacity
dimen,m3_comp_search_view_container_elevation
dimen,m3_comp_search_view_docked_header_container_height
dimen,m3_comp_search_view_full_screen_header_container_height
dimen,m3_comp_secondary_navigation_tab_active_indicator_height
dimen,m3_comp_secondary_navigation_tab_focus_state_layer_opacity
dimen,m3_comp_secondary_navigation_tab_hover_state_layer_opacity
dimen,m3_comp_secondary_navigation_tab_pressed_state_layer_opacity
dimen,m3_comp_sheet_bottom_docked_drag_handle_height
dimen,m3_comp_sheet_bottom_docked_drag_handle_width
dimen,m3_comp_sheet_bottom_docked_modal_container_elevation
dimen,m3_comp_sheet_bottom_docked_standard_container_elevation
dimen,m3_comp_sheet_side_docked_container_width
dimen,m3_comp_sheet_side_docked_modal_container_elevation
dimen,m3_comp_sheet_side_docked_standard_container_elevation
dimen,m3_comp_slider_active_handle_height
dimen,m3_comp_slider_active_handle_leading_space
dimen,m3_comp_slider_active_handle_width
dimen,m3_comp_slider_active_stop_indicator_container_opacity
dimen,m3_comp_slider_disabled_active_track_opacity
dimen,m3_comp_slider_disabled_handle_opacity
dimen,m3_comp_slider_disabled_inactive_track_opacity
dimen,m3_comp_slider_inactive_stop_indicator_container_opacity
dimen,m3_comp_slider_inactive_track_height
dimen,m3_comp_slider_large_active_handle_height
dimen,m3_comp_slider_large_active_track_height
dimen,m3_comp_slider_large_active_track_shape_leading
dimen,m3_comp_slider_large_icon_size
dimen,m3_comp_slider_medium_active_handle_height
dimen,m3_comp_slider_medium_active_track_height
dimen,m3_comp_slider_medium_active_track_shape_leading
dimen,m3_comp_slider_medium_icon_size
dimen,m3_comp_slider_small_active_handle_height
dimen,m3_comp_slider_small_active_track_height
dimen,m3_comp_slider_small_active_track_shape_leading
dimen,m3_comp_slider_stop_indicator_size
dimen,m3_comp_slider_value_indicator_active_bottom_space
dimen,m3_comp_slider_xlarge_active_handle_height
dimen,m3_comp_slider_xlarge_active_track_height
dimen,m3_comp_slider_xlarge_active_track_shape_leading
dimen,m3_comp_slider_xlarge_icon_size
dimen,m3_comp_slider_xsmall_active_handle_height
dimen,m3_comp_slider_xsmall_active_track_height
dimen,m3_comp_slider_xsmall_active_track_shape_leading
dimen,m3_comp_snackbar_container_elevation
dimen,m3_comp_split_button_large_leading_button_leading_space
dimen,m3_comp_split_button_large_leading_button_trailing_space
dimen,m3_comp_split_button_large_trailing_button_icon_size
dimen,m3_comp_split_button_large_trailing_button_leading_space
dimen,m3_comp_split_button_large_trailing_button_trailing_space
dimen,m3_comp_split_button_medium_leading_button_leading_space
dimen,m3_comp_split_button_medium_leading_button_trailing_space
dimen,m3_comp_split_button_medium_trailing_button_icon_size
dimen,m3_comp_split_button_medium_trailing_button_leading_space
dimen,m3_comp_split_button_medium_trailing_button_trailing_space
dimen,m3_comp_split_button_small_leading_button_leading_space
dimen,m3_comp_split_button_small_leading_button_trailing_space
dimen,m3_comp_split_button_small_trailing_button_icon_size
dimen,m3_comp_split_button_small_trailing_button_leading_space
dimen,m3_comp_split_button_small_trailing_button_trailing_space
dimen,m3_comp_split_button_xlarge_leading_button_leading_space
dimen,m3_comp_split_button_xlarge_leading_button_trailing_space
dimen,m3_comp_split_button_xlarge_trailing_button_icon_size
dimen,m3_comp_split_button_xlarge_trailing_button_leading_space
dimen,m3_comp_split_button_xlarge_trailing_button_trailing_space
dimen,m3_comp_split_button_xsmall_leading_button_leading_space
dimen,m3_comp_split_button_xsmall_leading_button_trailing_space
dimen,m3_comp_split_button_xsmall_trailing_button_icon_size
dimen,m3_comp_split_button_xsmall_trailing_button_leading_space
dimen,m3_comp_split_button_xsmall_trailing_button_trailing_space
dimen,m3_comp_suggestion_chip_container_height
dimen,m3_comp_suggestion_chip_elevated_container_elevation
dimen,m3_comp_suggestion_chip_flat_container_elevation
dimen,m3_comp_suggestion_chip_flat_outline_width
dimen,m3_comp_suggestion_chip_with_leading_icon_leading_icon_size
dimen,m3_comp_switch_disabled_selected_handle_opacity
dimen,m3_comp_switch_disabled_selected_icon_opacity
dimen,m3_comp_switch_disabled_track_opacity
dimen,m3_comp_switch_disabled_unselected_handle_opacity
dimen,m3_comp_switch_disabled_unselected_icon_opacity
dimen,m3_comp_switch_selected_focus_state_layer_opacity
dimen,m3_comp_switch_selected_hover_state_layer_opacity
dimen,m3_comp_switch_selected_pressed_state_layer_opacity
dimen,m3_comp_switch_track_height
dimen,m3_comp_switch_track_width
dimen,m3_comp_switch_unselected_focus_state_layer_opacity
dimen,m3_comp_switch_unselected_hover_state_layer_opacity
dimen,m3_comp_switch_unselected_pressed_state_layer_opacity
dimen,m3_comp_time_input_time_input_field_focus_outline_width
dimen,m3_comp_time_picker_container_elevation
dimen,m3_comp_time_picker_period_selector_focus_state_layer_opacity
dimen,m3_comp_time_picker_period_selector_hover_state_layer_opacity
dimen,m3_comp_time_picker_period_selector_outline_width
dimen,m3_comp_time_picker_period_selector_pressed_state_layer_opacity
dimen,m3_comp_time_picker_time_selector_focus_state_layer_opacity
dimen,m3_comp_time_picker_time_selector_hover_state_layer_opacity
dimen,m3_comp_time_picker_time_selector_pressed_state_layer_opacity
dimen,m3_comp_toolbar_docked_container_height
dimen,m3_comp_toolbar_docked_container_leading_space
dimen,m3_comp_toolbar_docked_container_trailing_space
dimen,m3_comp_toolbar_floating_container_elevation
dimen,m3_comp_toolbar_floating_container_leading_space
dimen,m3_comp_toolbar_floating_container_trailing_space
dimen,m3_comp_toolbar_floating_horizontal_container_height
dimen,m3_comp_toolbar_floating_vertical_container_width
dimen,m3_comp_toolbar_standard_disabled_icon_opacity
dimen,m3_comp_toolbar_standard_disabled_label_text_opacity
dimen,m3_comp_toolbar_vibrant_disabled_icon_opacity
dimen,m3_comp_toolbar_vibrant_disabled_label_text_opacity
dimen,m3_datepicker_elevation
dimen,m3_divider_heavy_thickness
dimen,m3_extended_fab_bottom_padding
dimen,m3_extended_fab_disabled_elevation
dimen,m3_extended_fab_disabled_translation_z
dimen,m3_extended_fab_end_padding
dimen,m3_extended_fab_icon_padding
dimen,m3_extended_fab_min_height
dimen,m3_extended_fab_start_padding
dimen,m3_extended_fab_top_padding
dimen,m3_extended_fab_translation_z_base
dimen,m3_extended_fab_translation_z_focused
dimen,m3_extended_fab_translation_z_hovered
dimen,m3_extended_fab_translation_z_pressed
dimen,m3_fab_border_width
dimen,m3_fab_corner_size
dimen,m3_fab_disabled_elevation
dimen,m3_fab_disabled_translation_z
dimen,m3_fab_translation_z_base
dimen,m3_fab_translation_z_focused
dimen,m3_fab_translation_z_hovered
dimen,m3_fab_translation_z_pressed
dimen,m3_floatingtoolbar_min_height
dimen,m3_floatingtoolbar_min_width
dimen,m3_large_fab_max_image_size
dimen,m3_large_fab_size
dimen,m3_large_text_vertical_offset_adjustment
dimen,m3_loading_indicator_container_size
dimen,m3_loading_indicator_shape_size
dimen,m3_menu_elevation
dimen,m3_multiline_hint_filled_text_extra_space
dimen,m3_nav_badge_with_text_vertical_offset
dimen,m3_navigation_content_horizontal_margin
dimen,m3_navigation_divider_bottom_margin
dimen,m3_navigation_divider_top_margin
dimen,m3_navigation_drawer_layout_corner_size
dimen,m3_navigation_item_active_indicator_label_padding
dimen,m3_navigation_item_expanded_active_indicator_height_default
dimen,m3_navigation_item_horizontal_padding
dimen,m3_navigation_item_icon_padding
dimen,m3_navigation_item_leading_trailing_space
dimen,m3_navigation_item_shape_inset_bottom
dimen,m3_navigation_item_shape_inset_end
dimen,m3_navigation_item_shape_inset_start
dimen,m3_navigation_item_shape_inset_top
dimen,m3_navigation_item_vertical_padding
dimen,m3_navigation_menu_divider_horizontal_padding
dimen,m3_navigation_menu_headline_horizontal_padding
dimen,m3_navigation_rail_default_width
dimen,m3_navigation_rail_elevation
dimen,m3_navigation_rail_expanded_active_indicator_height
dimen,m3_navigation_rail_expanded_item_spacing
dimen,m3_navigation_rail_expanded_leading_trailing_space
dimen,m3_navigation_rail_icon_label_horizontal_padding
dimen,m3_navigation_rail_icon_label_padding
dimen,m3_navigation_rail_icon_size
dimen,m3_navigation_rail_item_active_indicator_height
dimen,m3_navigation_rail_item_active_indicator_margin_horizontal
dimen,m3_navigation_rail_item_active_indicator_width
dimen,m3_navigation_rail_item_min_height
dimen,m3_navigation_rail_item_padding_bottom
dimen,m3_navigation_rail_item_padding_bottom_with_large_font
dimen,m3_navigation_rail_item_padding_top
dimen,m3_navigation_rail_item_padding_top_with_large_font
dimen,m3_navigation_rail_label_padding_horizontal
dimen,m3_navigation_rail_max_expanded_width
dimen,m3_navigation_rail_min_expanded_width
dimen,m3_navigation_subheader_horizontal_padding
dimen,m3_navigation_subheader_top_margin
dimen,m3_navigation_subheader_vertical_padding
dimen,m3_overflow_item_icon_horizontal_padding
dimen,m3_ripple_default_alpha
dimen,m3_ripple_focused_alpha
dimen,m3_ripple_hovered_alpha
dimen,m3_ripple_pressed_alpha
dimen,m3_ripple_selectable_pressed_alpha
dimen,m3_searchbar_elevation
dimen,m3_searchbar_height
dimen,m3_searchbar_margin_horizontal
dimen,m3_searchbar_margin_vertical
dimen,m3_searchbar_outlined_stroke_width
dimen,m3_searchbar_padding_start
dimen,m3_searchbar_parent_width_breakpoint
dimen,m3_searchbar_text_margin_start_no_navigation_icon
dimen,m3_searchbar_text_size
dimen,m3_searchview_divider_size
dimen,m3_searchview_elevation
dimen,m3_searchview_height
dimen,m3_side_sheet_margin_detached
dimen,m3_side_sheet_modal_elevation
dimen,m3_side_sheet_standard_elevation
dimen,m3_side_sheet_width
dimen,m3_simple_item_color_hovered_alpha
dimen,m3_simple_item_color_selected_alpha
dimen,m3_slider_thumb_elevation
dimen,m3_slider_track_icon_padding
dimen,m3_small_fab_max_image_size
dimen,m3_small_fab_size
dimen,m3_snackbar_action_text_color_alpha
dimen,m3_snackbar_margin
dimen,m3_sys_elevation_level0
dimen,m3_sys_elevation_level1
dimen,m3_sys_elevation_level2
dimen,m3_sys_elevation_level3
dimen,m3_sys_elevation_level4
dimen,m3_sys_elevation_level5
dimen,m3_sys_motion_easing_emphasized_accelerate_control_x1
dimen,m3_sys_motion_easing_emphasized_accelerate_control_x2
dimen,m3_sys_motion_easing_emphasized_accelerate_control_y1
dimen,m3_sys_motion_easing_emphasized_accelerate_control_y2
dimen,m3_sys_motion_easing_emphasized_decelerate_control_x1
dimen,m3_sys_motion_easing_emphasized_decelerate_control_x2
dimen,m3_sys_motion_easing_emphasized_decelerate_control_y1
dimen,m3_sys_motion_easing_emphasized_decelerate_control_y2
dimen,m3_sys_motion_easing_legacy_accelerate_control_x1
dimen,m3_sys_motion_easing_legacy_accelerate_control_x2
dimen,m3_sys_motion_easing_legacy_accelerate_control_y1
dimen,m3_sys_motion_easing_legacy_accelerate_control_y2
dimen,m3_sys_motion_easing_legacy_control_x1
dimen,m3_sys_motion_easing_legacy_control_x2
dimen,m3_sys_motion_easing_legacy_control_y1
dimen,m3_sys_motion_easing_legacy_control_y2
dimen,m3_sys_motion_easing_legacy_decelerate_control_x1
dimen,m3_sys_motion_easing_legacy_decelerate_control_x2
dimen,m3_sys_motion_easing_legacy_decelerate_control_y1
dimen,m3_sys_motion_easing_legacy_decelerate_control_y2
dimen,m3_sys_motion_easing_linear_control_x1
dimen,m3_sys_motion_easing_linear_control_x2
dimen,m3_sys_motion_easing_linear_control_y1
dimen,m3_sys_motion_easing_linear_control_y2
dimen,m3_sys_motion_easing_standard_accelerate_control_x1
dimen,m3_sys_motion_easing_standard_accelerate_control_x2
dimen,m3_sys_motion_easing_standard_accelerate_control_y1
dimen,m3_sys_motion_easing_standard_accelerate_control_y2
dimen,m3_sys_motion_easing_standard_control_x1
dimen,m3_sys_motion_easing_standard_control_x2
dimen,m3_sys_motion_easing_standard_control_y1
dimen,m3_sys_motion_easing_standard_control_y2
dimen,m3_sys_motion_easing_standard_decelerate_control_x1
dimen,m3_sys_motion_easing_standard_decelerate_control_x2
dimen,m3_sys_motion_easing_standard_decelerate_control_y1
dimen,m3_sys_motion_easing_standard_decelerate_control_y2
dimen,m3_sys_motion_standard_spring_default_effects_damping
dimen,m3_sys_motion_standard_spring_default_effects_stiffness
dimen,m3_sys_motion_standard_spring_default_spatial_damping
dimen,m3_sys_motion_standard_spring_default_spatial_stiffness
dimen,m3_sys_motion_standard_spring_fast_effects_damping
dimen,m3_sys_motion_standard_spring_fast_effects_stiffness
dimen,m3_sys_motion_standard_spring_fast_spatial_damping
dimen,m3_sys_motion_standard_spring_fast_spatial_stiffness
dimen,m3_sys_motion_standard_spring_slow_effects_damping
dimen,m3_sys_motion_standard_spring_slow_effects_stiffness
dimen,m3_sys_motion_standard_spring_slow_spatial_damping
dimen,m3_sys_motion_standard_spring_slow_spatial_stiffness
dimen,m3_sys_shape_corner_value_extra_extra_large
dimen,m3_sys_shape_corner_value_extra_large
dimen,m3_sys_shape_corner_value_extra_large_increased
dimen,m3_sys_shape_corner_value_extra_small
dimen,m3_sys_shape_corner_value_large
dimen,m3_sys_shape_corner_value_large_increased
dimen,m3_sys_shape_corner_value_medium
dimen,m3_sys_shape_corner_value_none
dimen,m3_sys_shape_corner_value_small
dimen,m3_sys_state_dragged_state_layer_opacity
dimen,m3_sys_state_focus_state_layer_opacity
dimen,m3_sys_state_hover_state_layer_opacity
dimen,m3_sys_state_pressed_state_layer_opacity
dimen,m3_timepicker_display_stroke_width
dimen,m3_timepicker_window_elevation
dimen,m3_toolbar_text_size_title
dimen,m3expressive_alert_dialog_bottom_padding
dimen,m3expressive_alert_dialog_top_padding
dimen,m3expressive_btn_min_height
dimen,m3expressive_btn_min_width
dimen,m3expressive_nav_rail_content_margin_top
dimen,m3expressive_nav_rail_header_items_margin
dimen,m3expressive_nav_rail_item_leading_trailing_padding
dimen,m3expressive_nav_rail_item_min_height
dimen,m3expressive_nav_rail_item_spacing
dimen,m3expressive_nav_rail_item_vertical_padding
dimen,m3expressive_nav_rail_min_width
dimen,material_bottom_sheet_max_width
dimen,material_clock_display_height
dimen,material_clock_display_padding
dimen,material_clock_display_width
dimen,material_clock_face_margin_bottom
dimen,material_clock_face_margin_top
dimen,material_clock_hand_center_dot_radius
dimen,material_clock_hand_padding
dimen,material_clock_hand_stroke_width
dimen,material_clock_number_text_size
dimen,material_clock_period_toggle_height
dimen,material_clock_period_toggle_horizontal_gap
dimen,material_clock_period_toggle_vertical_gap
dimen,material_clock_period_toggle_width
dimen,material_clock_size
dimen,material_cursor_inset
dimen,material_cursor_width
dimen,material_divider_thickness
dimen,material_emphasis_disabled
dimen,material_emphasis_disabled_background
dimen,material_emphasis_high_type
dimen,material_emphasis_medium
dimen,material_filled_edittext_font_1_3_padding_bottom
dimen,material_filled_edittext_font_1_3_padding_top
dimen,material_filled_edittext_font_2_0_padding_bottom
dimen,material_filled_edittext_font_2_0_padding_top
dimen,material_font_1_3_box_collapsed_padding_top
dimen,material_font_2_0_box_collapsed_padding_top
dimen,material_helper_text_default_padding_top
dimen,material_helper_text_font_1_3_padding_horizontal
dimen,material_helper_text_font_1_3_padding_top
dimen,material_input_text_to_prefix_suffix_padding
dimen,material_textinput_default_width
dimen,material_textinput_max_width
dimen,material_textinput_min_width
dimen,material_textinput_min_width_with_label
dimen,material_time_picker_minimum_screen_height
dimen,material_time_picker_minimum_screen_width
dimen,mtrl_alert_dialog_background_inset_bottom
dimen,mtrl_alert_dialog_background_inset_end
dimen,mtrl_alert_dialog_background_inset_start
dimen,mtrl_alert_dialog_background_inset_top
dimen,mtrl_alert_dialog_picker_background_inset
dimen,mtrl_badge_horizontal_edge_offset
dimen,mtrl_badge_long_text_horizontal_padding
dimen,mtrl_badge_size
dimen,mtrl_badge_text_horizontal_edge_offset
dimen,mtrl_badge_text_size
dimen,mtrl_badge_toolbar_action_menu_item_horizontal_offset
dimen,mtrl_badge_toolbar_action_menu_item_vertical_offset
dimen,mtrl_badge_with_text_size
dimen,mtrl_bottomappbar_fabOffsetEndMode
dimen,mtrl_bottomappbar_fab_bottom_margin
dimen,mtrl_bottomappbar_fab_cradle_margin
dimen,mtrl_bottomappbar_fab_cradle_rounded_corner_radius
dimen,mtrl_bottomappbar_fab_cradle_vertical_offset
dimen,mtrl_bottomappbar_height
dimen,mtrl_btn_corner_radius
dimen,mtrl_btn_dialog_btn_min_width
dimen,mtrl_btn_disabled_elevation
dimen,mtrl_btn_disabled_z
dimen,mtrl_btn_elevation
dimen,mtrl_btn_focused_z
dimen,mtrl_btn_hovered_z
dimen,mtrl_btn_icon_btn_padding_left
dimen,mtrl_btn_icon_padding
dimen,mtrl_btn_inset
dimen,mtrl_btn_letter_spacing
dimen,mtrl_btn_max_width
dimen,mtrl_btn_padding_bottom
dimen,mtrl_btn_padding_left
dimen,mtrl_btn_padding_right
dimen,mtrl_btn_padding_top
dimen,mtrl_btn_pressed_z
dimen,mtrl_btn_snackbar_margin_horizontal
dimen,mtrl_btn_stroke_size
dimen,mtrl_btn_text_btn_icon_padding
dimen,mtrl_btn_text_btn_padding_left
dimen,mtrl_btn_text_btn_padding_right
dimen,mtrl_btn_text_size
dimen,mtrl_btn_z
dimen,mtrl_calendar_action_confirm_button_min_width
dimen,mtrl_calendar_action_height
dimen,mtrl_calendar_action_padding
dimen,mtrl_calendar_bottom_padding
dimen,mtrl_calendar_content_padding
dimen,mtrl_calendar_day_corner
dimen,mtrl_calendar_day_height
dimen,mtrl_calendar_day_horizontal_padding
dimen,mtrl_calendar_day_today_stroke
dimen,mtrl_calendar_day_vertical_padding
dimen,mtrl_calendar_day_width
dimen,mtrl_calendar_days_of_week_height
dimen,mtrl_calendar_dialog_background_inset
dimen,mtrl_calendar_header_content_padding
dimen,mtrl_calendar_header_content_padding_fullscreen
dimen,mtrl_calendar_header_divider_thickness
dimen,mtrl_calendar_header_height
dimen,mtrl_calendar_header_height_fullscreen
dimen,mtrl_calendar_header_selection_line_height
dimen,mtrl_calendar_header_text_padding
dimen,mtrl_calendar_header_toggle_margin_bottom
dimen,mtrl_calendar_header_toggle_margin_top
dimen,mtrl_calendar_landscape_header_width
dimen,mtrl_calendar_maximum_default_fullscreen_minor_axis
dimen,mtrl_calendar_month_horizontal_padding
dimen,mtrl_calendar_month_vertical_padding
dimen,mtrl_calendar_navigation_bottom_padding
dimen,mtrl_calendar_navigation_height
dimen,mtrl_calendar_navigation_top_padding
dimen,mtrl_calendar_selection_baseline_to_top_fullscreen
dimen,mtrl_calendar_selection_text_baseline_to_bottom
dimen,mtrl_calendar_selection_text_baseline_to_bottom_fullscreen
dimen,mtrl_calendar_selection_text_baseline_to_top
dimen,mtrl_calendar_text_input_padding_top
dimen,mtrl_calendar_title_baseline_to_top
dimen,mtrl_calendar_title_baseline_to_top_fullscreen
dimen,mtrl_calendar_year_corner
dimen,mtrl_calendar_year_height
dimen,mtrl_calendar_year_horizontal_padding
dimen,mtrl_calendar_year_vertical_padding
dimen,mtrl_calendar_year_width
dimen,mtrl_card_checked_icon_margin
dimen,mtrl_card_checked_icon_size
dimen,mtrl_card_corner_radius
dimen,mtrl_card_dragged_z
dimen,mtrl_card_elevation
dimen,mtrl_card_spacing
dimen,mtrl_chip_pressed_translation_z
dimen,mtrl_chip_text_size
dimen,mtrl_exposed_dropdown_menu_popup_elevation
dimen,mtrl_exposed_dropdown_menu_popup_vertical_offset
dimen,mtrl_exposed_dropdown_menu_popup_vertical_padding
dimen,mtrl_extended_fab_bottom_padding
dimen,mtrl_extended_fab_disabled_elevation
dimen,mtrl_extended_fab_disabled_translation_z
dimen,mtrl_extended_fab_elevation
dimen,mtrl_extended_fab_end_padding
dimen,mtrl_extended_fab_end_padding_icon
dimen,mtrl_extended_fab_icon_size
dimen,mtrl_extended_fab_icon_text_spacing
dimen,mtrl_extended_fab_min_height
dimen,mtrl_extended_fab_min_width
dimen,mtrl_extended_fab_start_padding
dimen,mtrl_extended_fab_start_padding_icon
dimen,mtrl_extended_fab_top_padding
dimen,mtrl_extended_fab_translation_z_base
dimen,mtrl_extended_fab_translation_z_hovered_focused
dimen,mtrl_extended_fab_translation_z_pressed
dimen,mtrl_fab_elevation
dimen,mtrl_fab_min_touch_target
dimen,mtrl_fab_translation_z_hovered_focused
dimen,mtrl_fab_translation_z_pressed
dimen,mtrl_high_ripple_default_alpha
dimen,mtrl_high_ripple_focused_alpha
dimen,mtrl_high_ripple_hovered_alpha
dimen,mtrl_high_ripple_pressed_alpha
dimen,mtrl_low_ripple_default_alpha
dimen,mtrl_low_ripple_focused_alpha
dimen,mtrl_low_ripple_hovered_alpha
dimen,mtrl_low_ripple_pressed_alpha
dimen,mtrl_min_touch_target_size
dimen,mtrl_navigation_bar_item_default_icon_size
dimen,mtrl_navigation_bar_item_default_margin
dimen,mtrl_navigation_elevation
dimen,mtrl_navigation_item_horizontal_padding
dimen,mtrl_navigation_item_icon_padding
dimen,mtrl_navigation_item_icon_size
dimen,mtrl_navigation_item_shape_horizontal_margin
dimen,mtrl_navigation_item_shape_vertical_margin
dimen,mtrl_navigation_rail_active_text_size
dimen,mtrl_navigation_rail_compact_width
dimen,mtrl_navigation_rail_default_width
dimen,mtrl_navigation_rail_elevation
dimen,mtrl_navigation_rail_icon_margin
dimen,mtrl_navigation_rail_icon_size
dimen,mtrl_navigation_rail_margin
dimen,mtrl_navigation_rail_text_bottom_margin
dimen,mtrl_navigation_rail_text_size
dimen,mtrl_progress_circular_inset
dimen,mtrl_progress_circular_inset_extra_small
dimen,mtrl_progress_circular_inset_medium
dimen,mtrl_progress_circular_inset_small
dimen,mtrl_progress_circular_radius
dimen,mtrl_progress_circular_size
dimen,mtrl_progress_circular_size_extra_small
dimen,mtrl_progress_circular_size_medium
dimen,mtrl_progress_circular_size_small
dimen,mtrl_progress_circular_track_thickness_extra_small
dimen,mtrl_progress_circular_track_thickness_medium
dimen,mtrl_progress_circular_track_thickness_small
dimen,mtrl_progress_indicator_full_rounded_corner_radius
dimen,mtrl_progress_track_thickness
dimen,mtrl_shape_corner_size_large_component
dimen,mtrl_shape_corner_size_medium_component
dimen,mtrl_shape_corner_size_small_component
dimen,mtrl_slider_halo_radius
dimen,mtrl_slider_label_padding
dimen,mtrl_slider_label_radius
dimen,mtrl_slider_label_square_side
dimen,mtrl_slider_thumb_elevation
dimen,mtrl_slider_thumb_radius
dimen,mtrl_slider_tick_min_spacing
dimen,mtrl_slider_tick_radius
dimen,mtrl_slider_track_height
dimen,mtrl_slider_track_side_padding
dimen,mtrl_slider_widget_height
dimen,mtrl_snackbar_action_text_color_alpha
dimen,mtrl_snackbar_background_corner_radius
dimen,mtrl_snackbar_background_overlay_color_alpha
dimen,mtrl_snackbar_margin
dimen,mtrl_snackbar_message_margin_horizontal
dimen,mtrl_snackbar_padding_horizontal
dimen,mtrl_switch_text_padding
dimen,mtrl_switch_thumb_elevation
dimen,mtrl_switch_thumb_icon_size
dimen,mtrl_switch_thumb_size
dimen,mtrl_switch_track_height
dimen,mtrl_switch_track_width
dimen,mtrl_textinput_box_corner_radius_medium
dimen,mtrl_textinput_box_corner_radius_small
dimen,mtrl_textinput_box_label_cutout_padding
dimen,mtrl_textinput_box_stroke_width_default
dimen,mtrl_textinput_box_stroke_width_focused
dimen,mtrl_textinput_counter_margin_start
dimen,mtrl_textinput_end_icon_margin_start
dimen,mtrl_textinput_outline_box_expanded_padding
dimen,mtrl_textinput_start_icon_margin_end
dimen,mtrl_toolbar_default_height
dimen,mtrl_tooltip_arrowSize
dimen,mtrl_tooltip_cornerSize
dimen,mtrl_tooltip_minHeight
dimen,mtrl_tooltip_minWidth
dimen,mtrl_tooltip_padding
dimen,mtrl_transition_shared_axis_slide_distance
drawable,material_ic_keyboard_arrow_next_black_24dp
drawable,material_ic_keyboard_arrow_previous_black_24dp
integer,app_bar_elevation_anim_duration
integer,bottom_sheet_slide_duration
integer,design_snackbar_text_max_lines
integer,design_tab_indicator_anim_duration_ms
integer,hide_password_duration
integer,m3_badge_max_number
